vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
??,"To Interrupt, To Intercept, To Obstruct",????,Transitive verb and Godan verb,?????????????,It’s rude to interrupt a person.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. The kanji itself means intercept, so the verb version is to intercept or to interrupt.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet, so here's a mnemonic to help you: The thing you want to interrupt and to intercept is your roommate's sighing guitar (???). He keeps playing it and all it does is make these horrible, long sighing sounds. You want to interrupt it any cost.",?,Intercept,,,8539,level57 vocab
??,"To Mourn For, To Hold A Memorial Service For, To Condole",????,Transitive verb and Godan verb,?????????????????????????,We’re building a stone memorial for the souls of soldiers who died in battle.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. The kanji itself means condolence, so the verb version is to mourn for or to condole.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet, so here's a mnemonic to help you: You seem to mourn for things you really care about. Well then you would mourn for your toe mural (???). You had a mural made for your favorite toe so if anything were to happen to it, you would want to mourn for it.",?,Condolence,,,8540,level57 vocab
???,"To Quiet Down, To Calm Down, To Subside, To Die Down",????,Intransitive verb and Godan verb,?????????????????????????,"For the time being, let’s wait until dad’s anger has calmed down.",,,,,"You already learned that ??? means ""to appease,"" but this one is what happens after they've been appeased. They start to quiet down.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet, so here's a mnemonic to help you: When you're in the library the librarian is always telling you to quiet down. She's (??) so mean! She never lets you talk in the library. Who's mean to you? She's mean to you!!",?,Tranquilize,,,8541,level57 vocab
???,"To Soak, To Seep, To Dip In, To Pickle",???,Transitive verb and Ichidan verb,???????????????????,Please eat it dipped in soy sauce like this.,,,,,"This word consists of kanji with hiragana attached. Because the hiragana ends with an ? sound, you know this word is a verb. The kanji itself means pickle or soak, so the verb version is to pickle or to soak.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading with the kanji. Good for you!",?,Pickle,,,8542,level57 vocab
??,"Travels, Pilgrimage, Itinerancy",????,Noun and ?? verb,?????????????????????????,Don’t you think a woman who talks about her history with men is super annoying?,,,,,See the continuation of universal trends with travels around the world. If you want to see and understand everyone on this planet you have to make a pilgrimage to see it all for yourself.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Universal, Continuation",,,8543,level57 vocab
??,"Tree Thinning, Thinning, Periodic Thinning",????,Noun and ?? verb,??????????????????????????????????????,"Periodic thinning of forests makes the rest of trees grow thick trunks and tough, healthy branches and leaves.",,,,,"Fell trees in intervals, instead of all at once, and it's called tree thinning. That way there's still some forest there, but you get your wood to use for other things too.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Interval, Fell",,,8544,level57 vocab
?,"Tsubo, Two Mat Area",??,Noun,??????????????,How many tsubo is this land?,,,,,The kanji and the word are exactly the same. That means they share meanings as well.,"This has the same reading as the kanji you learned, meaning you know the reading!",?,Two Mat Area,,,8545,level57 vocab
??,"Uneven, Rough, Rugged",????,"Noun, ? adjective, and ? adjective",????????????????,"It has distinctly uneven features, doesn’t it?",,,,,A surface covered in convex and concave parts is going to be really uneven and rough.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Concave, Convex",,,8546,level57 vocab
??,"Universal, Ubiquitous, Omnipresent",???,? adjective,????????????????????????,Universal themes are easily accepted by many people.,,,,,Something normal and universal is still universal. Normally.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Normal, Universal",,,8547,level57 vocab
???,"Unpleasant, Unhappy, Discomfort, Disagreeable",????,Noun and ? adjective,?????????????????,I watched that video and it was unpleasant.,,,,,"You already learned that ?? means ""pleasant"" or ""happy,"" so add not to that and you're unpleasant and unhappy.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?, ?","Not, Pleasant, Pleasant",,,8548,level57 vocab
???,Vicious Circle,???????,Noun,??????????????????????????,"First of all, it’s important to cut off the vicious circle in your heart.",,,,,"You already know that ?? means ""circulation"" or ""cycle,"" so adding bad to that makes it a vicious circle. Take a look if you've never heard of this before.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?, ?","Bad, Circulation, Loop",,,8549,level57 vocab
??,"While, While Doing, Besides",????,Noun and ? adjective,?????????????????????,"While working at the newspaper office, I’ve been attending night classes.",,,,,"You're only nearby while you are nearby, that's it.","Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You haven't learned this reading yet, so here's a mnemonic to help you: While you live as a normal human citizen you also have another life as a cutter walrus (???)! That's a walrus that cuts fish up while eating. It's your secret double life. You do it at night while you are a human by day!",?,Nearby,,,8550,level57 vocab
??,"Whirlwind, Commotion, Sensation",????,Noun,??????????????????????????,Tofugu is creating a whirlwind in the Japanese learning industry.,,,,,A rotation of wind forms a whirlwind!,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Watch out because ?? becomes ?? here (hehe).,"?, ?","Rotation, Wind",,,8551,level57 vocab
??,"Yeast, Leaven",???,Noun,??????????????????,I’m using my own yeast to make bread.,,,,,"The mother of good fermentation is yeast! If you want to bake a pie or bread you have to have the best. And if you don't have any, maybe your neighbor has some extra that you can borrow?",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Fermentation, Mother",,,8552,level57 vocab
??,"Aid, Help, Support",???,Noun and ?? verb,?????????????????????????,Most students receive support from their parents to live.,,,,,"Help and aid someone and you will help and aid them! Good job, you're a good person.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Aid, Help",,,8587,level58 vocab
??,"Amnesty, Pardon",????,Noun,????????????????,The president granted amnesty to the turkey.,,,,,Pardon someone out of the kindness in your heart and you'll have granted them amnesty. How kind of you.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Kindness, Pardon",,,8588,level58 vocab
??,"Anger, Indignation, Resentment",????,Noun and ?? verb,???????????????????,I resented your selfish actions.,,,,,You resent someone so much that you sigh with anger whenever they're around. Everything they do makes you feel really strong resentment.,This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Resent, Sigh",,,8589,level58 vocab
