name,symbol,mnemonic,
Thread,糸,"There's a small pile of poop (see the radicals small and poop in there?). You have to go through it and break it apart to look for some <font color='#0a9ce6'><b>thread</b></font> your dog/cat ate. Imagine yourself breaking it apart, looking for this <font color='#0a9ce6'><b>thread</b></font>. It smells bad, and it's making you gag. Use this feeling of disgust to help you remember this radical... to help you to remember you're looking for some thread in the poop to make sure it passed (and you don't have to do any surgery on your pet!).",level4 radical
Two Face,巾,"You have a head, and a line going right through the middle. Who else has a line going through the middle of their face? None other than the Batman villain <font color='#0a9ce6'><b>Two Face</b></font>.",level4 radical
Umbrella,乚,"Do you know how the bottom of an <font color='#0a9ce6'><b>umbrella</b></font> is shaped? It has a hook that curls around for the handle. So, when you see this radical, you should think of the bottom of an umbrella, which will help you to remember that this radical means umbrella.",level4 radical
Axe,斤,"This is a strange looking axe, I know. But think of it this way... the letter 'T' is in the cliff. What is the 'T'? Of course it has to be 'Mr. T,' who's super awesome. Think of Mr. T wielding a terrifying <font color='#0a9ce6'><b>axe</b></font>, running after you screaming 'I pity the foo'' at you while trying to chop you down. That makes for a pretty terrifying axe.",level5 radical
Blue,青,"You have life on top of the moon (ignore that life is missing its little slide on the left side). What would life on the moon look like? Well, first of all, they have no air, so they probably look pretty <font color='#0a9ce6'><b>blue</b></font> from asphyxiation. When you meet them, it turns out you're right. They're a civilization of blue people. Imagine them all living up there, being all blue and Smurfy (or just blue).",level5 radical
Coffin,耂,See the grave with the slide going into it? What do you slide into graves? You would slide a <font color='#0a9ce6'><b>coffin</b></font> into a grave.,level5 radical
Color,色,"There's an enclosure at the top of your bed. As you lay in bed, you reach up into it, and knock a ton of <font color='#0a9ce6'><b>color</b></font>s on your face. That's your paint enclosure, turns out. Go look at your face in the mirror, it's covered in the color black, green, red, and so on. What a terrible way to wake up.",level5 radical
Feathers,羽,"This radical already looks like a set of wings, right? What are on wings? Well, usually lots of <font color='#0a9ce6'><b>feathers</b></font>.",level5 radical
Go,行,You have the radical for loiter and a two radical and barb radical (i.e. two barbs). Someone who uses two barbs on you while you're loitering really wants you to <font color='#0a9ce6'><b>GO</b></font>!!,level5 radical
Gold,金,"There's two sets of spikes underneath that hat. It's actually a trap, to prevent anyone from coming in and stealing your <font color='#0a9ce6'><b>gold</b></font>. Why else would you make a trap? Everyone likes to protect their gold.",level5 radical
Ice,冫,"Remember the radical for 'drop' (of liquid)? This is two drops instead of one. When you see two drops, you should think 'the next stage of water.' What is the next stage? Why, that is <font color='#0a9ce6'><b>ice</b></font>.",level5 radical
Key,乍,This is a very oddly shaped <font color='#0a9ce6'><b>key</b></font> but it's a key nonetheless.,level5 radical
